study_variable,velocity,Fx_N,Fy_N,FR_N,Q_m3_s,mdot_kg_s,Re,outlet_speed_m_s,diameter
diameter,,117.93244297264809,0.0,117.93244297264809,0.01179324429726481,11.79324429726481,387500.0,10.0,0.03875
diameter,,122.54174844408686,0.0,122.54174844408686,0.012254174844408687,12.254174844408686,395000.0,10.0,0.0395
diameter,,127.23941120890787,0.0,127.23941120890787,0.012723941120890788,12.723941120890787,402500.0,10.0,0.04025
diameter,,132.0254312671111,0.0,132.0254312671111,0.013202543126711107,13.202543126711108,410000.0,10.0,0.041
diameter,,136.8998086186965,0.0,136.8998086186965,0.01368998086186965,13.68998086186965,417500.0,10.0,0.04175
diameter,,141.86254326366412,0.0,141.86254326366412,0.014186254326366414,14.186254326366413,425000.0,10.0,0.0425
diameter,,146.91363520201395,0.0,146.91363520201395,0.014691363520201397,14.691363520201396,432500.00000000006,10.0,0.043250000000000004
diameter,,152.05308443374602,0.0,152.05308443374602,0.015205308443374602,15.205308443374602,440000.00000000006,10.0,0.044000000000000004
diameter,,157.28089095886028,0.0,157.28089095886028,0.01572808909588603,15.728089095886029,447500.00000000006,10.0,0.044750000000000005
diameter,,162.59705477735676,0.0,162.59705477735676,0.016259705477735677,16.259705477735675,455000.00000000006,10.0,0.045500000000000006
diameter,,168.00157588923548,0.0,168.00157588923548,0.01680015758892355,16.800157588923547,462500.00000000006,10.0,0.046250000000000006
diameter,,173.4944542944964,0.0,173.4944542944964,0.017349445429449637,17.349445429449638,470000.00000000006,10.0,0.04700000000000001
diameter,,179.0756899931395,0.0,179.0756899931395,0.01790756899931395,17.90756899931395,477500.00000000006,10.0,0.04775000000000001
diameter,,184.74528298516478,0.0,184.74528298516478,0.01847452829851648,18.47452829851648,485000.0,10.0,0.0485
diameter,,190.5032332705723,0.0,190.5032332705723,0.019050323327057233,19.05032332705723,492500.0,10.0,0.04925
diameter,,196.34954084936209,0.0,196.34954084936209,0.019634954084936207,19.634954084936208,500000.0,10.0,0.05
